employee_id,first_name,last_name,date_of_birth,salary,department,employee_status,hire_date,bank_account_number,tax_rate
1,Dianna,Lawton,8/3/1985,33917.98,IT,Contractor,4/27/2016,2978344545,0.33
2,Georges,Kyteley,9/23/1977,43783.17,IT,Part-time,3/19/2017,3779952976,0.32
3,Margaux,Hagan,12/23/1961,96574.01,IT,Contractor,4/25/2016,5423975894,0.39
4,Gisella,Gregolotti,4/3/1975,91641.29,Operations,Full-time,6/27/2016,3137135826,0.36
5,Heddie,Boshell,11/10/1977,38893.87,Operations,Full-time,10/17/2018,7935838609,0.28
6,Friederike,Coleford,3/13/1981,75403.15,HR,Part-time,6/11/2012,9229818650,0.29
7,Vyky,Hryskiewicz,12/25/1981,56217.49,IT,Contractor,10/29/2011,4212638334,0.13
8,Mateo,Davet,4/16/1976,86770.82,Operations,Part-time,3/7/2015,3877761593,0.31
9,Maureen,Sleany,9/29/1989,81140.23,HR,Full-time,12/29/2021,3641969635,0.27
10,Charisse,Flageul,7/10/1989,43285.94,HR,Part-time,9/16/2020,6516183177,0.22
11,Carny,Gipson,11/12/1972,41522.05,IT,Contractor,7/31/2019,6813934935,0.45
12,Ofilia,Whordley,10/22/1973,79115.43,Finance,Part-time,11/10/2014,9209143043,0.3
13,Gwenora,Bayldon,10/21/1971,37686.6,Finance,Full-time,5/23/2017,9872624401,0.36
14,Avis,Carnalan,2/23/1982,94023.43,IT,Part-time,12/5/2015,7113908398,0.17
15,Arin,Borghese,12/31/1991,74011.77,Operations,Part-time,1/19/2018,1235072856,0.47
16,Brigg,Livett,8/28/1981,32073.48,Operations,Contractor,2/21/2010,5781082181,0.25
17,Kevyn,Bridgeland,9/1/1984,55398.75,IT,Contractor,9/27/2014,5129984393,0.44
18,Druci,Baldetti,12/26/1999,81618.62,IT,Full-time,1/10/2016,7232784883,0.39
19,Emlynn,Halsey,6/21/1993,85213.25,HR,Full-time,5/24/2010,4292519215,0.44
20,Charlotta,Fretwell,4/19/1990,28480.46,HR,Full-time,11/5/2018,6067421769,0.49
21,Niall,Crackett,5/30/1966,63440.43,Operations,Part-time,2/22/2013,2367466307,0.18
22,Kane,Theobalds,10/13/1999,25151.54,HR,Full-time,8/4/2015,1348750826,0.37
23,Dur,Duffie,7/22/1993,38004.95,Operations,Full-time,6/24/2020,1392412543,0.16
24,Elly,Claringbold,7/28/1961,52767.01,HR,Contractor,2/24/2017,9843619242,0.39
25,Clyde,Issacov,8/1/1997,43617.34,IT,Part-time,8/2/2017,3599099043,0.43
26,Phelia,Coutthart,7/31/1968,85351.23,HR,Contractor,8/7/2011,4478167370,0.49
27,Alice,Coulson,4/20/1983,60757.43,Operations,Part-time,12/30/2017,5207962038,0.31
28,Waylen,Koopman,4/7/1980,78453.97,Finance,Full-time,12/21/2018,2872425867,0.43
29,Mar,Haydney,2/14/1973,41348.14,Operations,Contractor,2/24/2018,1422253761,0.26
30,Audrye,Knipe,3/6/1961,76817.57,Finance,Part-time,2/1/2013,2804977101,0.31
31,Loria,Plaistowe,4/19/1970,80275.51,Finance,Contractor,7/30/2010,2903444376,0.37
32,Tremaine,Royds,4/3/1976,20613.73,Operations,Part-time,5/21/2021,4251492142,0.15
33,Marika,Wretham,10/11/1981,91739.46,HR,Contractor,2/18/2019,9954924345,0.17
34,Othello,Mountlow,1/30/1991,82805.31,Operations,Contractor,2/10/2020,5081283782,0.16
35,Weider,Antonikov,4/27/1965,22477.63,Operations,Contractor,6/3/2010,4577585811,0.15
36,Karen,Motion,5/28/1986,65765.2,IT,Contractor,11/24/2014,9858527083,0.21
37,Elke,Male,5/6/1996,78969.85,IT,Part-time,6/19/2013,8847439157,0.26
38,Karee,Christie,5/15/1985,85321.25,HR,Full-time,7/23/2017,7449780842,0.33
39,Sebastiano,Broxton,7/8/1992,39989.0,Operations,Part-time,8/14/2011,7531756125,0.13
40,Selma,Frankowski,8/25/1964,99924.29,Operations,Part-time,12/14/2016,1294683470,0.35
41,Estelle,Oylett,5/30/1994,93085.91,HR,Part-time,3/13/2011,6222664006,0.21
42,Celine,Deinhardt,5/4/1989,93210.86,IT,Part-time,5/27/2010,9916513279,0.38
43,Elmer,Gunderson,10/3/1987,58885.97,HR,Full-time,9/23/2016,6237632560,0.41
44,Rosana,Pettinger,7/27/1997,59488.12,IT,Full-time,1/26/2013,7378377827,0.42
45,Sheryl,Rikard,4/10/1970,43545.76,HR,Full-time,2/27/2017,9792702672,0.12
46,Vivyan,Fosher,8/27/1980,31764.72,IT,Contractor,5/17/2011,7284133839,0.13
47,Max,Dix,11/2/1979,36299.69,Finance,Contractor,5/7/2019,5093565474,0.33
48,Halimeda,Pizer,5/5/1994,20065.96,IT,Part-time,4/5/2011,2838573892,0.3
49,Alfred,Ilieve,3/26/1981,82388.3,IT,Contractor,9/10/2017,2766090279,0.25
50,Alexis,Girdlestone,3/14/1995,51674.96,Operations,Contractor,5/5/2018,6329275500,0.27
51,Richie,Dallinder,7/17/1998,65736.85,Finance,Contractor,11/2/2019,3671874062,0.48
52,Brandais,Gammade,9/5/1968,97828.45,Operations,Full-time,11/28/2014,6305055836,0.26
53,Alvinia,Koppens,2/24/1970,30995.15,IT,Contractor,2/3/2017,5767051649,0.4
54,Noah,Isakson,8/10/1983,62225.87,IT,Contractor,11/6/2013,2738154032,0.19
55,Orsola,Cass,8/5/1962,77339.71,HR,Full-time,5/30/2017,2241027593,0.33
56,Yvor,Smooth,8/9/1990,83185.78,HR,Full-time,7/16/2012,6630679726,0.24
57,Sigrid,Arnaudi,9/13/1977,30122.62,IT,Part-time,12/13/2016,9362832522,0.41
58,Sonia,Hodjetts,5/10/1980,93644.28,Finance,Contractor,11/1/2018,3628134569,0.2
59,Rasla,Spratt,11/24/1996,55926.49,IT,Full-time,3/18/2013,4247415288,0.11
60,Maible,Grouvel,12/13/1966,24246.37,Operations,Part-time,9/15/2019,1116290068,0.34
61,Verina,Mulliner,4/25/1978,70679.53,IT,Contractor,6/8/2017,9505056981,0.17
62,Adrian,Low,12/10/1965,50073.89,HR,Full-time,7/2/2011,6958067136,0.48
63,Eveleen,Hardwidge,3/9/1965,23841.05,Finance,Contractor,10/10/2016,3298497093,0.27
64,Gates,Hariot,2/5/1999,96981.29,Operations,Part-time,8/23/2020,5618797016,0.41
65,Parrnell,Bonnette,7/23/1978,43447.48,IT,Part-time,12/19/2012,7111644200,0.44
66,Rossy,Stainburn,12/2/1988,24194.43,IT,Full-time,7/1/2018,3202523407,0.12
67,Georgy,Pyrah,10/1/1992,99293.55,HR,Part-time,2/10/2021,6265091872,0.37
68,Michail,Marzelli,2/5/1982,36096.62,IT,Full-time,4/20/2015,2416343817,0.17
69,Axe,Casetta,6/24/1989,58797.13,Finance,Part-time,7/21/2018,1029432828,0.13
70,Conny,Becket,11/10/1999,52799.8,IT,Full-time,7/21/2016,9852441345,0.11
71,Ebenezer,Liebmann,4/3/1964,86023.37,Operations,Part-time,4/19/2018,7082403247,0.32
72,Cullin,Moret,11/30/1997,69670.38,HR,Full-time,6/21/2016,7034117822,0.4
73,Phip,Rowlings,12/30/1966,28863.16,IT,Part-time,8/15/2018,5691084678,0.34
74,Gussy,Hadcock,7/11/1988,79560.9,Finance,Contractor,12/16/2010,1562140397,0.32
75,Wilfred,Schonfeld,12/26/1999,58062.46,HR,Part-time,1/24/2019,1563407870,0.26
