employee_id,first_name,last_name,age,email,job_title,salary,hire_date,department,manager_id
1,Duane,Aldersley,28,daldersley0@yellowpages.com,Marketing Assistant,95509.39,1/31/2013,Marketing,1
2,Haze,Ofener,57,hofener1@linkedin.com,Technical Writer,84190.17,4/6/2017,Marketing,2
3,Hasheem,Dovidaitis,50,hdovidaitis2@yellowpages.com,Civil Engineer,114389.31,12/6/2020,Engineering,3
4,Quinta,Balsdon,65,qbalsdon3@yale.edu,Registered Nurse,81379.07,6/9/2018,Marketing,4
5,Mildrid,Grimstead,24,mgrimstead4@sun.com,Community Outreach Specialist,109979.81,12/12/2020,IT,5
6,Arlin,Belden,30,abelden5@sciencedaily.com,VP Accounting,104800.02,1/15/2013,Engineering,6
7,Lilly,Tressler,62,ltressler6@nsw.gov.au,Marketing Manager,67059.77,9/30/2011,Engineering,7
8,Luciana,Chainey,25,lchainey7@apache.org,Help Desk Technician,40660.04,12/1/2018,Marketing,8
9,Hercule,Carnegie,29,hcarnegie8@wikimedia.org,Quality Control Specialist,75593.91,8/18/2015,Marketing,9
10,Georgia,Brundale,43,gbrundale9@tiny.cc,Information Systems Manager,56224.42,8/29/2018,Marketing,10
11,Hazel,Glowach,57,hglowacha@elegantthemes.com,VP Sales,105540.56,12/29/2019,Marketing,11
12,Swen,Alejandri,19,salejandrib@narod.ru,Software Test Engineer IV,73848.52,5/18/2014,Marketing,12
13,Rowan,Fagence,30,rfagencec@photobucket.com,Web Developer II,70773.79,9/6/2016,Engineering,13
14,Somerset,Ganning,18,sganningd@admin.ch,Physical Therapy Assistant,71588.84,8/6/2013,Engineering,14
15,Rebeca,Rickerby,50,rrickerbye@discuz.net,Chemical Engineer,115691.24,9/24/2013,Engineering,15
16,Verile,Thunnerclef,43,vthunnercleff@vinaora.com,Information Systems Manager,36617.7,5/15/2012,IT,16
17,Cully,Prosch,65,cproschg@fema.gov,Accounting Assistant I,107799.88,8/5/2010,Marketing,17
