employee_id,first_name,last_name,age,email,job_title,department,salary,hire_date,commission_rate
1,Margret,Yitzhakof,49,myitzhakof0@ezinearticles.com,Sales Associate,Sales,35985.81,8/16/2016,0.12
2,Ara,Sellen,43,asellen1@google.nl,Sales Representative,Sales,87625.65,1/29/2020,0.11
3,Gypsy,Imesen,56,gimesen2@surveymonkey.com,Sales Associate,Sales,60552.39,2/11/2011,0.14
4,Merci,Greggs,36,mgreggs3@1688.com,Sales Manager,Sales,73784.58,12/26/2017,0.13
5,Miquela,Gurnell,45,mgurnell4@w3.org,Sales Representative,Sales,40124.08,2/12/2015,0.14
6,Marabel,Liddell,51,mliddell5@4shared.com,Sales Representative,Sales,82703.0,8/12/2014,0.15
7,Gates,Mateescu,35,gmateescu6@nih.gov,Sales Associate,Sales,96476.75,7/27/2017,0.06
8,Daron,Brompton,19,dbrompton7@wisc.edu,Sales Associate,Sales,54997.16,1/20/2019,0.08
9,Christy,Kayser,29,ckayser8@wikia.com,Sales Representative,Sales,94843.0,3/1/2011,0.11
10,Blaire,Milier,50,bmilier9@123-reg.co.uk,Sales Associate,Sales,65214.89,11/28/2011,0.05
11,Eadmund,Duferie,45,eduferiea@hubpages.com,Sales Representative,Sales,39337.8,5/10/2010,0.14
12,Terry,Prettyjohn,26,tprettyjohnb@squidoo.com,Sales Representative,Sales,97766.29,12/2/2020,0.09
13,Lottie,Garry,64,lgarryc@theatlantic.com,Sales Associate,Sales,81814.32,7/18/2019,0.12
14,Elsworth,Fricker,33,efrickerd@chron.com,Sales Associate,Sales,85007.76,3/18/2011,0.1
15,Gayle,Godsil,19,ggodsile@usa.gov,Sales Associate,Sales,42961.58,10/7/2010,0.1
16,Georgianne,Crewther,35,gcrewtherf@newyorker.com,Sales Representative,Sales,52573.66,4/1/2013,0.06
17,Trev,Chittenden,34,tchittendeng@com.com,Sales Representative,Sales,82510.16,8/12/2014,0.12
18,Staffard,Wakelin,21,swakelinh@ebay.com,Sales Associate,Sales,76606.72,8/18/2012,0.14
19,Dalenna,Hullin,24,dhullini@scientificamerican.com,Sales Representative,Sales,65339.82,1/26/2011,0.12
20,Daffi,McClary,21,dmcclaryj@kickstarter.com,Sales Representative,Sales,52183.1,5/1/2017,0.12
21,Rosabella,Crothers,30,rcrothersk@tinyurl.com,Sales Associate,Sales,61977.08,8/13/2010,0.12
22,Trever,Toyne,48,ttoynel@multiply.com,Sales Associate,Sales,75355.32,5/3/2011,0.14
23,Gussy,Myerscough,44,gmyerscoughm@goo.gl,Sales Associate,Sales,86466.76,5/14/2017,0.07
24,Adelaida,Rainforth,23,arainforthn@who.int,Sales Associate,Sales,92136.75,6/18/2018,0.09
25,Liane,Lardeux,33,llardeuxo@parallels.com,Sales Associate,Sales,42178.5,6/20/2019,0.1
26,Vina,Roll,51,vrollp@oaic.gov.au,Sales Associate,Sales,72971.65,10/20/2015,0.12
27,Fawnia,Melesk,48,fmeleskq@parallels.com,Sales Representative,Sales,48452.53,6/6/2011,0.09
28,Demetri,Haddow,38,dhaddowr@goodreads.com,Sales Associate,Sales,77522.8,3/10/2015,0.13
29,Abraham,Manders,19,amanderss@washington.edu,Sales Associate,Sales,66123.96,10/29/2011,0.15
30,Annabal,Bortolotti,46,abortolottit@google.pl,Sales Associate,Sales,33534.29,7/31/2021,0.15
31,Joell,Lamberton,28,jlambertonu@bloglines.com,Sales Associate,Sales,33114.48,5/5/2019,0.06
32,Trumann,Tomaello,21,ttomaellov@slideshare.net,Sales Associate,Sales,86385.81,4/30/2010,0.13
33,Danell,Bruckenthal,39,dbruckenthalw@msu.edu,Sales Representative,Sales,70777.02,9/14/2015,0.08
34,Pietrek,Gooly,62,pgoolyx@yellowbook.com,Sales Associate,Sales,72450.36,3/15/2012,0.09
35,Lorry,Cardo,55,lcardoy@hexun.com,Sales Representative,Sales,35053.49,10/30/2012,0.13
36,Stanley,Groneway,58,sgronewayz@dailymotion.com,Sales Associate,Sales,36607.2,12/3/2018,0.11
37,Kala,Drewell,30,kdrewell10@blinklist.com,Sales Representative,Sales,76389.67,8/19/2014,0.12
38,Petronia,Champe,21,pchampe11@scribd.com,Sales Representative,Sales,84118.94,4/16/2019,0.15
39,Sal,Basey,41,sbasey12@domainmarket.com,Sales Associate,Sales,45583.02,12/8/2015,0.1
40,Ellynn,Jendrich,28,ejendrich13@rakuten.co.jp,Sales Representative,Sales,86695.55,12/23/2015,0.05
41,Phyllys,Arnaldo,52,parnaldo14@ed.gov,Sales Manager,Sales,93249.65,9/11/2011,0.15
42,Wynn,Monro,57,wmonro15@fc2.com,Sales Representative,Sales,68459.63,6/23/2010,0.14
